game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Gears of War 3,2011-09-20,2015-07-01,2015-07-01,91,Microsoft Studios,Epic Games,XB360/OG Xbox
Assassin's Creed IV: Black Flag,2013-10-29,2015-07-01,2015-07-01,85,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest",XB1/Series X|S
Plants vs. Zombies,2009-05-05,2015-07-01,2015-07-01,86,"Electronic Arts, PopCap Games",PopCap Games,XB360/OG Xbox
Massive Chalice,2015-05-31,2015-06-01,2015-07-01,73,Double Fine Productions,Double Fine Productions,XB1/Series X|S
Thief,2014-02-25,2015-06-01,2015-06-01,70,Square Enix,"Feral Interactive, Square Enix, Eidos Montreal",XB360/OG Xbox
Pool Nation FX,2015-04-01,2015-04-01,2015-06-01,,"Cherry Pop Games, CherryPop Games",CherryPop Games,XB1/Series X|S
Just Cause 2,2010-03-23,2015-06-01,2015-06-01,84,Square Enix,"Square Enix, Avalanche Studios",XB360/OG Xbox
F1 2013,2013-10-03,2015-05-01,2015-05-01,78,Codemasters,"Feral Interactive, Codemasters",XB360/OG Xbox
CastleStorm: Definitive Edition,2014-09-23,2015-05-01,2015-05-01,,Zen Studios,Zen Studios,XB1/Series X|S
Mafia II,2010-08-24,2015-05-01,2015-05-01,77,"2K Games, 1C-SoftClub",2K Czech,XB360/OG Xbox
Assassin's Creed IV: Black Flag,2013-10-29,2015-04-01,2015-04-01,85,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest",XB360/OG Xbox
Army of Two: The Devil's Cartel,2013-03-01,2015-04-01,2015-04-01,56,Electronic Arts,"Electronic Arts, Visceral, Visceral Games Montreal",XB360/OG Xbox
Child of Light,2014-04-29,2015-04-01,2015-04-01,77,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",XB1/Series X|S
Rayman Legends,2013-08-29,2015-03-01,2015-04-01,89,Ubisoft Entertainment,"Ubisoft, Ubisoft Montpellier",XB1/Series X|S
Gears of War: Judgment,2013-03-19,2015-04-01,2015-04-01,79,Microsoft Studios,Epic Games,XB360/OG Xbox
Terraria,2011-05-16,2015-04-01,2015-04-01,81,"505 Games, Headup Games, Spike Chunsoft, Re-Logic","Engine Software, Codeglue, Pipeworks Studio, Re-Logic",XB360/OG Xbox
BioShock Infinite,2013-03-26,2015-03-01,2015-03-01,94,"2K Games, Aspyr","Aspyr Media, 2K Australia, Irrational Games",XB360/OG Xbox
#IDARB,2015-01-30,2015-02-01,2015-03-01,,Other Ocean,,XB1/Series X|S
Tomb Raider,1996-10-25,2015-03-01,2015-03-01,88,Eidos Interactive,Core Design,XB360/OG Xbox
Sniper Elite V2,2012-05-01,2015-02-01,2015-02-01,66,"505 Games, Rebellion",Rebellion,XB360/OG Xbox
Worms Battlegrounds,2014-05-30,2014-12-01,2015-02-01,66,Team17 Digital,Team17 Digital,XB1/Series X|S
Brothers: A Tale of Two Sons,2013-08-07,2015-02-01,2015-02-01,90,"505 Games, Parables Games","Starbreeze Studios, Parables Games",XB360/OG Xbox
The Witcher 2: Assassins of Kings,2011-05-17,2015-01-01,2015-01-01,88,"CD PROJEKT RED, Atari",CD PROJEKT RED,XB360/OG Xbox
